Asset Type,Product,ASSET TAG,Receiving date,Keyboard,SERIAL NUMBER,PO,MODEL,ERASED,CUSTOMER,CONDITION,DIAG,HARDWARE TYPE,CPU TYPE, CPU CORES,GPU CORES,MEMORY,HARDDRIVE,STATUS,CHARGER,INVENTORY
APPLE,"MacBook Pro 14"" Apple",F1.1,25-Jul-24,,SGWV41VXHGJ,,A2442,COMPLETED,Wise,NEW,ADP000,"MacBook Pro 14"" Apple M3 Pro 11-Core CPU 14-Core GPU 36GB RAM 512GB SSD",M3 Pro,11,14,36,512,,INCLUDED,IN STOCK
APPLE,"MacBook Pro 14"" Apple",F1.2,25-Jul-24,,SG04HR7F5FJ,,A2442,COMPLETED,Wise,NEW,ADP000,"MacBook Pro 14"" Apple M3 Pro 11-Core CPU 14-Core GPU 36GB RAM 512GB SSD",M3 Pro,11,14,36,512,,INCLUDED,IN STOCK
APPLE,"MacBook Pro 14"" Apple",F1.3,25-Jul-24,,SC956QXWQVT,,A2442,COMPLETED,Wise,NEW,ADP000,"MacBook Pro 14"" Apple M3 Pro 11-Core CPU 14-Core GPU 36GB RAM 512GB SSD",M3 Pro,11,14,36,512,,INCLUDED,IN STOCK
APPLE,"MacBook Pro 14"" Apple",4,25-Jul-24,,SC4QHX9P6PM,,A2442,COMPLETED,Wise,NEW,ADP000,"MacBook Pro 14"" Apple M3 Pro 11-Core CPU 14-Core GPU 36GB RAM 512GB SSD",M3 Pro,11,14,36,512,,INCLUDED,IN STOCK
APPLE,"MacBook Pro 14"" Apple",F1.5,25-Jul-24,,SFL446RX63T,,A2442,COMPLETED,Wise,NEW,ADP000,"MacBook Pro 14"" Apple M3 Pro 11-Core CPU 14-Core GPU 36GB RAM 512GB SSD",M3 Pro,11,14,36,512,,INCLUDED,IN STOCK
APPLE,"MacBook Pro 14"" Apple",F1.6,25-Jul-24,,SH3YDC46NW1,,A2442,COMPLETED,Wise,NEW,ADP000,"MacBook Pro 14"" Apple M3 Pro 11-Core CPU 14-Core GPU 36GB RAM 512GB SSD",M3 Pro,11,14,36,512,,INCLUDED,IN STOCK
APPLE,"MacBook Pro 14"" Apple",F1.7,25-Jul-24,,SGGX1WNLKPM,,A2442,COMPLETED,Wise,NEW,ADP000,"MacBook Pro 14"" Apple M3 Pro 11-Core CPU 14-Core GPU 36GB RAM 512GB SSD",M3 Pro,11,14,36,512,,INCLUDED,IN STOCK
APPLE,"MacBook Pro 14"" Apple",F1.8,25-Jul-24,,SCP2VY2FCJ4,,A2442,COMPLETED,Wise,NEW,ADP000,"MacBook Pro 14"" Apple M3 Pro 11-Core CPU 14-Core GPU 36GB RAM 512GB SSD",M3 Pro,11,14,36,512,,INCLUDED,IN STOCK
APPLE,"MacBook Pro 14"" Apple",F1.9,25-Jul-24,,SG4XPWQR9Y3,,A2442,COMPLETED,Wise,NEW,ADP000,"MacBook Pro 14"" Apple M3 Pro 11-Core CPU 14-Core GPU 36GB RAM 512GB SSD",M3 Pro,11,14,36,512,,INCLUDED,IN STOCK
APPLE,"MacBook Pro 14"" Apple",10,25-Jul-24,,SF47N2NK923,,A2442,COMPLETED,Wise,NEW,ADP000,"MacBook Pro 14"" Apple M3 Pro 11-Core CPU 14-Core GPU 36GB RAM 512GB SSD",M3 Pro,11,14,36,512,,INCLUDED,IN STOCK
APPLE,"MacBook Air 13"" Apple",F1.11,25-Jul-24,,SCK2D7T4YPQ,,A2337,COMPLETED,Wise,NEW,ADP000,"MacBook Air 13"" Apple M2 8-Core CPU 8-Core GPU 8GB RAM 256GB SSD",M2,8,8,8,256,,INCLUDED,IN STOCK
APPLE,"MacBook Air 13"" Apple",12,25-Jul-24,,SD2RJ6GXDYT,,A2337,COMPLETED,Wise,NEW,ADP000,"MacBook Air 13"" Apple M2 8-Core CPU 8-Core GPU 8GB RAM 256GB SSD",M2,8,8,8,256,,INCLUDED,IN STOCK
APPLE,"MacBook Air 13"" Apple",13,25-Jul-24,,SJT6TQY4920,,A2337,COMPLETED,Wise,NEW,ADP000,"MacBook Air 13"" Apple M2 8-Core CPU 8-Core GPU 8GB RAM 256GB SSD",M2,8,8,8,256,,INCLUDED,IN STOCK
APPLE,"MacBook Air 13"" Apple",F1.14,25-Jul-24,,SHT2N9H5F6V,,A2337,COMPLETED,Wise,NEW,ADP000,"MacBook Air 13"" Apple M2 8-Core CPU 8-Core GPU 8GB RAM 256GB SSD",M2,8,8,8,256,,INCLUDED,IN STOCK
APPLE,"MacBook Air 13"" Apple",15,25-Jul-24,,SC34WPL933J,,A2337,COMPLETED,Wise,NEW,ADP000,"MacBook Air 13"" Apple M2 8-Core CPU 8-Core GPU 8GB RAM 256GB SSD",M2,8,8,8,256,,INCLUDED,IN STOCK
APPLE,"MacBook Air 13"" Apple",16,25-Jul-24,,SMT7Y9NG7JV,,A2337,COMPLETED,Wise,NEW,ADP000,"MacBook Air 13"" Apple M2 8-Core CPU 8-Core GPU 8GB RAM 256GB SSD",M2,8,8,8,256,,INCLUDED,IN STOCK
APPLE,"MacBook Air 13"" Apple",17,25-Jul-24,,SL0341NQLFX,,A2337,COMPLETED,Wise,NEW,ADP000,"MacBook Air 13"" Apple M2 8-Core CPU 8-Core GPU 8GB RAM 256GB SSD",M2,8,8,8,256,,INCLUDED,IN STOCK
APPLE,"MacBook Air 13"" Apple",18,25-Jul-24,,SGLWMVF3C4P,,A2337,COMPLETED,Wise,NEW,ADP000,"MacBook Air 13"" Apple M2 8-Core CPU 8-Core GPU 8GB RAM 256GB SSD",M2,8,8,8,256,,INCLUDED,IN STOCK
APPLE,"MacBook Air 13"" Apple",F1.19,25-Jul-24,,SH2MNQ4HKWW,,A2337,COMPLETED,Wise,NEW,ADP000,"MacBook Air 13"" Apple M2 8-Core CPU 8-Core GPU 8GB RAM 256GB SSD",M2,8,8,8,256,,INCLUDED,IN STOCK
APPLE,"MacBook Air 13"" Apple",20,25-Jul-24,,SK625W7PV2L,,A2337,COMPLETED,Wise,NEW,ADP000,"MacBook Air 13"" Apple M2 8-Core CPU 8-Core GPU 8GB RAM 256GB SSD",M2,8,8,8,256,,INCLUDED,IN STOCK
APPLE,"MacBook Air 13"" Apple",21,25-Jul-24,,SJ63YHW1232,,A2337,COMPLETED,Wise,NEW,ADP000,"MacBook Air 13"" Apple M2 8-Core CPU 8-Core GPU 8GB RAM 256GB SSD",M2,8,8,8,256,,INCLUDED,IN STOCK
APPLE,"MacBook Air 13"" Apple",F5.22,25-Jul-24,,SD3QY65P9NC,,A2337,COMPLETED,Wise,NEW,ADP000,"MacBook Air 13"" Apple M2 8-Core CPU 8-Core GPU 8GB RAM 256GB SSD",M2,8,8,8,256,,INCLUDED,IN STOCK
APPLE,"MacBook Air 13"" Apple",F5.23,25-Jul-24,,SMH4DW36JV9,,A2337,COMPLETED,Wise,NEW,ADP000,"MacBook Air 13"" Apple M2 8-Core CPU 8-Core GPU 8GB RAM 256GB SSD",M2,8,8,8,256,,INCLUDED,IN STOCK
APPLE,"MacBook Air 13"" Apple",24,25-Jul-24,,SM232CYH6HK,,A2337,COMPLETED,Wise,NEW,ADP000,"MacBook Air 13"" Apple M2 8-Core CPU 8-Core GPU 8GB RAM 256GB SSD",M2,8,8,8,256,,INCLUDED,IN STOCK
APPLE,"MacBook Air 13"" Apple",25,25-Jul-24,,SM7G6774VM2,,A2337,COMPLETED,Wise,NEW,ADP000,"MacBook Air 13"" Apple M2 8-Core CPU 8-Core GPU 8GB RAM 256GB SSD",M2,8,8,8,256,,INCLUDED,IN STOCK
APPLE,"MacBook Air 13"" Apple",26,25-Jul-24,,SLYKN4DR4LV,,A2337,COMPLETED,Wise,NEW,ADP000,"MacBook Air 13"" Apple M2 8-Core CPU 8-Core GPU 8GB RAM 256GB SSD",M2,8,8,8,256,,INCLUDED,IN STOCK
APPLE,"MacBook Air 13"" Apple",27,25-Jul-24,,SK1FMQMT493,,A2337,COMPLETED,Wise,NEW,ADP000,"MacBook Air 13"" Apple M2 8-Core CPU 8-Core GPU 8GB RAM 256GB SSD",M2,8,8,8,256,,INCLUDED,IN STOCK
APPLE,"MacBook Air 13"" Apple",28,25-Jul-24,,SDQ367VDWW9,,A2337,COMPLETED,Wise,NEW,ADP000,"MacBook Air 13"" Apple M2 8-Core CPU 8-Core GPU 8GB RAM 256GB SSD",M2,8,8,8,256,,INCLUDED,IN STOCK
APPLE,"MacBook Air 13"" Apple",29,25-Jul-24,,SMQ07VND6WW,,A2337,COMPLETED,Wise,NEW,ADP000,"MacBook Air 13"" Apple M2 8-Core CPU 8-Core GPU 8GB RAM 256GB SSD",M2,8,8,8,256,,INCLUDED,IN STOCK
APPLE,"MacBook Air 13"" Apple",30,25-Jul-24,,SCV2N9FHT47,,A2337,COMPLETED,Wise,NEW,ADP000,"MacBook Air 13"" Apple M2 8-Core CPU 8-Core GPU 8GB RAM 256GB SSD",M2,8,8,8,256,,INCLUDED,IN STOCK
APPLE,"MacBook Air 13"" Apple",B5.31,25-Jul-24,,SL70G4066LF,,A2337,COMPLETED,Wise,NEW,ADP000,"MacBook Air 13"" Apple M2 8-Core CPU 8-Core GPU 8GB RAM 256GB SSD",M2,8,8,8,256,,INCLUDED,IN STOCK
APPLE,"MacBook Air 13"" Apple",32,25-Jul-24,,SFPM74T19Q1,,A2337,COMPLETED,Wise,NEW,ADP000,"MacBook Air 13"" Apple M2 8-Core CPU 8-Core GPU 8GB RAM 256GB SSD",M2,8,8,8,256,,INCLUDED,IN STOCK
APPLE,"MacBook Air 13"" Apple",33,25-Jul-24,,SHF25T7QC0H,,A2337,COMPLETED,Wise,NEW,ADP000,"MacBook Air 13"" Apple M2 8-Core CPU 8-Core GPU 8GB RAM 256GB SSD",M2,8,8,8,256,,INCLUDED,IN STOCK
APPLE,"MacBook Air 13"" Apple",34,25-Jul-24,,SG7LCF1WMLY,,A2337,COMPLETED,Wise,NEW,ADP000,"MacBook Air 13"" Apple M2 8-Core CPU 8-Core GPU 8GB RAM 256GB SSD",M2,8,8,8,256,,INCLUDED,IN STOCK
APPLE,"MacBook Air 13"" Apple",B5.35,25-Jul-24,,SJXGJNPYFPK,,A2337,COMPLETED,Wise,NEW,ADP000,"MacBook Air 13"" Apple M2 8-Core CPU 8-Core GPU 8GB RAM 256GB SSD",M2,8,8,8,256,,INCLUDED,IN STOCK
APPLE,"MacBook Air 13"" Apple",B5.36,25-Jul-24,,SG7QQYLQXDP,,A2337,COMPLETED,Wise,NEW,ADP000,"MacBook Air 13"" Apple M2 8-Core CPU 8-Core GPU 8GB RAM 256GB SSD",M2,8,8,8,256,,INCLUDED,IN STOCK
APPLE,"MacBook Air 13"" Apple",B5.37,25-Jul-24,,SKWRGG9YW5P,,A2337,COMPLETED,Wise,NEW,ADP000,"MacBook Air 13"" Apple M2 8-Core CPU 8-Core GPU 8GB RAM 256GB SSD",M2,8,8,8,256,,INCLUDED,IN STOCK
APPLE,"MacBook Air 13"" Apple",B5.38,25-Jul-24,,SK72L4YHQ2G,,A2337,COMPLETED,Wise,NEW,ADP000,"MacBook Air 13"" Apple M2 8-Core CPU 8-Core GPU 8GB RAM 256GB SSD",M2,8,8,8,256,,INCLUDED,IN STOCK
APPLE,"MacBook Air 13"" Apple",B5.39,25-Jul-24,,SL0Q44JYXL9,,A2337,COMPLETED,Wise,NEW,ADP000,"MacBook Air 13"" Apple M2 8-Core CPU 8-Core GPU 8GB RAM 256GB SSD",M2,8,8,8,256,,INCLUDED,IN STOCK
APPLE,"MacBook Air 13"" Apple",40,25-Jul-24,,SJ2KH72Q3KD,,A2337,COMPLETED,Wise,NEW,ADP000,"MacBook Air 13"" Apple M2 8-Core CPU 8-Core GPU 8GB RAM 256GB SSD",M2,8,8,8,256,,INCLUDED,IN STOCK
APPLE,"MacBook Air 13"" Apple",41,25-Jul-24,,SLQR4TH5KFQ,,A2337,COMPLETED,Wise,NEW,ADP000,"MacBook Air 13"" Apple M2 8-Core CPU 8-Core GPU 8GB RAM 256GB SSD",M2,8,8,8,256,,INCLUDED,IN STOCK
APPLE,"MacBook Air 13"" Apple",B5.42,25-Jul-24,,SH5Y63X9F7X,,A2337,COMPLETED,Wise,NEW,ADP000,"MacBook Air 13"" Apple M2 8-Core CPU 8-Core GPU 8GB RAM 256GB SSD",M2,8,8,8,256,,INCLUDED,IN STOCK
APPLE,"MacBook Air 13"" Apple",43,25-Jul-24,,SGWC7F2TG6N,,A2337,COMPLETED,Wise,NEW,ADP000,"MacBook Air 13"" Apple M2 8-Core CPU 8-Core GPU 8GB RAM 256GB SSD",M2,8,8,8,256,,INCLUDED,IN STOCK
APPLE,"MacBook Air 13"" Apple",B5.44,25-Jul-24,,SH6V3KHWMC6,,A2337,COMPLETED,Wise,NEW,ADP000,"MacBook Air 13"" Apple M2 8-Core CPU 8-Core GPU 8GB RAM 256GB SSD",M2,8,8,8,256,,INCLUDED,IN STOCK
APPLE,"MacBook Air 13"" Apple",45,25-Jul-24,,SDCJWVCVQJD,,A2337,COMPLETED,Wise,NEW,ADP000,"MacBook Air 13"" Apple M2 8-Core CPU 8-Core GPU 8GB RAM 256GB SSD",M2,8,8,8,256,,INCLUDED,IN STOCK
APPLE,"MacBook Air 13"" Apple",46, ,,SK3PP7CHY66,,A2337,COMPLETED,Wise,NEW,ADP000,"MacBook Air 13"" Apple M2 8-Core CPU 8-Core GPU 8GB RAM 256GB SSD",M2,8,8,8,256,,INCLUDED,IN STOCK
APPLE,"MacBook Air 13"" Apple",47,25-Jul-24,,SJK7KK6JQKP,,A2337,COMPLETED,Wise,NEW,ADP000,"MacBook Air 13"" Apple M2 8-Core CPU 8-Core GPU 8GB RAM 256GB SSD",M2,8,8,8,256,,INCLUDED,IN STOCK
APPLE,"MacBook Air 13"" Apple",48,25-Jul-24,,SKNWGT9LJDF,,A2337,COMPLETED,Wise,NEW,ADP000,"MacBook Air 13"" Apple M2 8-Core CPU 8-Core GPU 8GB RAM 256GB SSD",M2,8,8,8,256,,INCLUDED,IN STOCK
APPLE,"MacBook Air 13"" Apple",49,25-Jul-24,,SL6XTHPKT4C,,A2337,COMPLETED,Wise,NEW,ADP000,"MacBook Air 13"" Apple M2 8-Core CPU 8-Core GPU 8GB RAM 256GB SSD",M2,8,8,8,256,,INCLUDED,IN STOCK
APPLE,"MacBook Air 13"" Apple",50,25-Jul-24,,SDH27CN6G6H,,A2337,COMPLETED,Wise,NEW,ADP000,"MacBook Air 13"" Apple M2 8-Core CPU 8-Core GPU 8GB RAM 256GB SSD",M2,8,8,8,256,,INCLUDED,IN STOCK
