NAME,CATEGORY,MANUFACTURER,MODEL_NO,Status,TOTAL QUANTITY,COUNTRY,NOTES
Logitech Pebble Keys 2 K380s Keyboard,Keyboard,Logitech,K380s,Ready to Deploy,42,Singapore,Wireless keyboard
Logitech Lift Vertical Ergonomic Mouse,Mouse,Logitech,Lift,Ready to Deploy,18,Singapore,Ergonomic vertical mouse
Logitech Triathlon M720 Mouse,Mouse,Logitech,M720,Ready to Deploy,95,Singapore,Wireless multi-device mouse
Anker 30W Charging Solution,Power Adapter,Anker,B2640211,Ready to Deploy,20,Singapore,30w
Anker 736 Charger nanoii Black 100w,Power Adapter,Anker,A2145212,Ready to Deploy,16,Singapore,newer packging without safety mark 
Anker 736 Charger nanoii Black 100w,Power Adapter,Anker,A2145K12,Ready to Deploy,3,Singapore,old packging with safety mark 
Apple EarPods,Audio,Apple,EarPods,Ready to Deploy,56,Singapore,Wired earphones
Apple Magic Mouse,Mouse,Apple,Magic Mouse,Ready to Deploy,18,Singapore,Wireless mouse
Apple USB-C Digital AV Multiport Adapter,Adapter,Apple,A1621,Ready to Deploy,4,Singapore,Multi-port adapter
Apple Magic Keyboard with Touch ID,Keyboard,Apple,Magic Keyboard TD,Ready to Deploy,2,Singapore,Full-size keyboard with Touch ID
Apple Compact Magic Keyboard with Touch ID,Keyboard,Apple,Magic Keyboard TD Compact,Ready to Deploy,11,Singapore,Compact keyboard with Touch ID
LG UHD 4K Monitor (27UP850),Monitor,LG,27UP850,Ready to Deploy,2,Singapore,27-inch 4K UHD monitor
Laptop Bags,Accessories,Generic,Laptop Bag,Ready to Deploy,50,Singapore,Standard laptop carrying bag
3M Privacy screen (Air 13 M2),Accessories,3M,BPNAP006,Ready to Deploy,13,Singapore,Privacy Screen
3M Privacy Screen (Pro 14),Accessories,3M,PFNAP011,Ready to Deploy,1,Singapore,Privacy Screen
Jabra Evolve 2 Type C,Audio,Jabra,Evolve 2,Ready to Deploy,13,Singapore,Jabra Headset